~~~~~~~STARTING~~~~~~~~
Lambda = 65.00, Ts = 0.015, SimTime = 100.00

wAvg = 2, qAvg = 2
Arrival      Tw      Start       End        Tq
54.259     0.027    54.287     54.292     0.032
54.298     0.002    54.300     54.300     0.002
54.300     0.018    54.317     54.319     0.019
54.304     0.015    54.319     54.322     0.018
54.317     0.005    54.322     54.326     0.008
54.329     0.006    54.335     54.344     0.015
54.333     0.017    54.350     54.352     0.020
54.334     0.028    54.361     54.362     0.029
54.346     0.037    54.383     54.389     0.043
54.355     0.034    54.389     54.390     0.035
54.366     0.029    54.394     54.407     0.041
54.394     0.013    54.408     54.425     0.030
54.408     0.017    54.425     54.440     0.033
54.446     0.004    54.450     54.472     0.026
54.448     0.033    54.481     54.490     0.042
54.450     0.040    54.490     54.498     0.048
54.481     0.036    54.517     54.518     0.037
54.517     0.032    54.549     54.560     0.043
54.549     0.011    54.560     54.571     0.023
54.575     0.005    54.580     54.590     0.015
54.580     0.010    54.590     54.627     0.048
54.635     0.000    54.635     54.635     0.000
54.647     0.008    54.654     54.661     0.015
54.652     0.017    54.669     54.678     0.026
54.654     0.025    54.679     54.682     0.028
54.669     0.013    54.682     54.695     0.026
54.679     0.025    54.704     54.739     0.061
54.704     0.035    54.739     54.747     0.043
54.779     0.000    54.779     54.785     0.006
54.790     0.002    54.792     54.798     0.009
54.792     0.032    54.823     54.831     0.039
54.820     0.012    54.833     54.841     0.021
54.823     0.017    54.841     54.863     0.040
54.833     0.037    54.870     54.876     0.044
54.870     0.014    54.884     54.891     0.021
54.877     0.056    54.932     54.945     0.069
54.884     0.062    54.945     54.954     0.071
54.932     0.022    54.954     54.957     0.024
54.972     0.000    54.972     54.973     0.001
54.977     0.000    54.977     54.981     0.004
54.977     0.004    54.981     54.983     0.006
55.017     0.008    55.025     55.027     0.010
55.025     0.001    55.027     55.035     0.010
55.069     0.000    55.069     55.076     0.007
55.084     0.002    55.086     55.092     0.008
55.086     0.006    55.092     55.097     0.011
55.138     0.000    55.138     55.141     0.003
55.165     0.000    55.165     55.178     0.012
55.182     0.015    55.197     55.199     0.017
55.194     0.010    55.205     55.207     0.012
55.197     0.010    55.207     55.208     0.011
55.205     0.014    55.219     55.220     0.016
55.211     0.041    55.251     55.269     0.058
55.219     0.050    55.269     55.275     0.056
55.224     0.085    55.309     55.311     0.087
55.294     0.097    55.391     55.406     0.111
55.305     0.100    55.406     55.425     0.120
55.322     0.103    55.425     55.428     0.106
55.442     0.040    55.482     55.491     0.048
55.463     0.033    55.497     55.499     0.036
55.479     0.020    55.499     55.513     0.034
55.497     0.035    55.532     55.557     0.061
55.521     0.037    55.557     55.559     0.038
55.532     0.027    55.559     55.569     0.037
55.576     0.009    55.585     55.590     0.014
55.585     0.005    55.590     55.590     0.005
55.592     0.000    55.592     55.595     0.003
55.608     0.000    55.608     55.616     0.007
55.617     0.000    55.617     55.617     0.000
55.619     0.000    55.619     55.658     0.039
55.659     0.000    55.659     55.665     0.006
55.744     0.000    55.744     55.746     0.003
55.764     0.000    55.764     55.773     0.009
55.764     0.009    55.773     55.782     0.018
55.787     0.000    55.787     55.825     0.039
55.861     0.015    55.876     55.884     0.023
55.871     0.013    55.884     55.904     0.033
55.876     0.028    55.904     55.907     0.030
55.907     0.000    55.907     55.912     0.005
55.959     0.000    55.959     55.964     0.005
56.006     0.000    56.006     56.007     0.000
56.050     0.000    56.050     56.053     0.003
56.083     0.000    56.083     56.108     0.025
56.126     0.000    56.126     56.141     0.016
56.181     0.000    56.181     56.192     0.011
56.234     0.017    56.251     56.253     0.020
56.251     0.002    56.253     56.272     0.021
56.273     0.000    56.273     56.287     0.014
56.297     0.000    56.297     56.297     0.001
56.303     0.000    56.303     56.312     0.009
56.312     0.006    56.318     56.319     0.007
56.318     0.017    56.335     56.350     0.032
56.335     0.019    56.354     56.355     0.020
56.354     0.014    56.368     56.369     0.015
56.360     0.013    56.373     56.374     0.014
56.360     0.014    56.374     56.379     0.019
56.371     0.008    56.379     56.385     0.015
56.404     0.010    56.413     56.420     0.016
56.413     0.007    56.420     56.445     0.033
56.413     0.033    56.446     56.448     0.035
56.446     0.009    56.455     56.456     0.010
56.446     0.010    56.456     56.463     0.016
56.455     0.007    56.463     56.467     0.011
56.503     0.009    56.513     56.515     0.012
56.513     0.004    56.517     56.524     0.011
56.517     0.056    56.573     56.583     0.066
56.531     0.052    56.583     56.585     0.054
56.534     0.050    56.585     56.588     0.054
56.592     0.021    56.613     56.640     0.048
56.594     0.069    56.663     56.664     0.070
56.597     0.082    56.679     56.690     0.092
56.651     0.039    56.690     56.696     0.046
56.679     0.039    56.717     56.721     0.042
56.717     0.003    56.721     56.728     0.011
56.754     0.000    56.754     56.767     0.013
56.792     0.000    56.792     56.793     0.001
56.817     0.005    56.822     56.848     0.031
56.822     0.037    56.859     56.872     0.050
56.859     0.013    56.872     56.885     0.026
56.901     0.000    56.901     56.907     0.006
56.912     0.000    56.912     56.912     0.000
56.924     0.100    57.024     57.027     0.103
56.935     0.092    57.027     57.035     0.101
56.942     0.093    57.035     57.041     0.098
57.054     0.000    57.054     57.056     0.003
57.087     0.000    57.087     57.095     0.008
57.095     0.000    57.095     57.097     0.002
57.100     0.011    57.112     57.118     0.017
57.102     0.016    57.118     57.119     0.017
57.112     0.007    57.119     57.119     0.007
57.131     0.006    57.137     57.142     0.011
57.135     0.013    57.148     57.149     0.014
57.137     0.012    57.149     57.163     0.026
57.148     0.040    57.188     57.191     0.043
57.165     0.063    57.228     57.230     0.065
57.181     0.061    57.241     57.243     0.062
57.208     0.055    57.262     57.266     0.058
57.232     0.039    57.271     57.294     0.062
57.262     0.043    57.305     57.318     0.056
57.266     0.051    57.318     57.328     0.062
57.303     0.025    57.328     57.334     0.031
57.335     0.024    57.360     57.362     0.027
57.339     0.023    57.362     57.367     0.028
57.341     0.032    57.373     57.373     0.032
57.367     0.008    57.375     57.385     0.019
57.368     0.024    57.392     57.404     0.037
57.375     0.030    57.404     57.417     0.042
57.392     0.068    57.460     57.499     0.107
57.418     0.081    57.499     57.499     0.081
57.431     0.074    57.505     57.506     0.075
57.505     0.001    57.506     57.511     0.006
57.512     0.000    57.512     57.516     0.004
57.534     0.000    57.534     57.537     0.003
57.538     0.042    57.580     57.583     0.046
57.556     0.041    57.597     57.600     0.044
57.558     0.052    57.609     57.610     0.052
57.597     0.014    57.611     57.613     0.016
57.609     0.003    57.613     57.628     0.018
57.611     0.017    57.628     57.631     0.020
57.631     0.002    57.633     57.648     0.016
57.633     0.015    57.648     57.659     0.026
57.661     0.000    57.661     57.666     0.005
57.681     0.000    57.681     57.699     0.018
57.710     0.000    57.710     57.712     0.002
57.735     0.021    57.756     57.767     0.032
