~~~~~~~~~~~~~~~~~~~~~STARTING~~~~~~~~~~~~~~~~~~~~
Lambda = 50.00, Ts = 0.015, SimTime = 100.00

wAvg = 0, qAvg = 0
Arrival      Tw      Start       End        Tq
56.722     0.001    56.723     56.737     0.015
56.723     0.014    56.737     56.752     0.029
56.767     0.002    56.768     56.782     0.015
56.768     0.014    56.783     56.797     0.028
56.783     0.014    56.797     56.812     0.029
56.817     0.000    56.817     56.832     0.015
56.838     0.008    56.846     56.853     0.015
56.845     0.008    56.853     56.868     0.023
56.846     0.022    56.868     56.883     0.037
56.917     0.014    56.930     56.932     0.015
56.920     0.012    56.932     56.947     0.027
56.924     0.035    56.959     56.962     0.038
56.959     0.008    56.967     56.977     0.017
56.967     0.019    56.987     56.992     0.024
56.987     0.005    56.992     57.007     0.020
57.009     0.010    57.019     57.024     0.015
57.010     0.014    57.024     57.039     0.029
57.019     0.020    57.039     57.054     0.035
57.085     0.000    57.085     57.100     0.015
57.106     0.013    57.119     57.121     0.015
57.119     0.002    57.121     57.136     0.017
57.152     0.000    57.152     57.167     0.015
57.174     0.000    57.174     57.189     0.015
57.208     0.012    57.221     57.223     0.015
57.221     0.003    57.223     57.238     0.018
57.279     0.014    57.292     57.294     0.015
57.282     0.013    57.294     57.309     0.027
57.283     0.035    57.319     57.324     0.040
57.294     0.037    57.331     57.339     0.044
57.319     0.025    57.344     57.354     0.035
57.331     0.034    57.365     57.369     0.038
57.344     0.024    57.369     57.384     0.039
57.365     0.018    57.384     57.399     0.033
57.436     0.000    57.436     57.451     0.015
57.548     0.009    57.557     57.563     0.015
57.554     0.021    57.575     57.578     0.024
57.555     0.023    57.578     57.593     0.038
57.575     0.028    57.602     57.608     0.033
57.602     0.020    57.622     57.623     0.020
57.622     0.000    57.623     57.638     0.015
57.640     0.000    57.640     57.655     0.015
57.662     0.013    57.676     57.677     0.015
57.676     0.012    57.688     57.692     0.017
57.688     0.011    57.699     57.707     0.019
57.699     0.009    57.707     57.722     0.024
57.787     0.000    57.787     57.802     0.015
57.835     0.000    57.835     57.850     0.015
57.863     0.003    57.866     57.878     0.015
57.866     0.012    57.878     57.893     0.027
57.902     0.000    57.902     57.917     0.015
57.931     0.000    57.931     57.946     0.015
57.946     0.014    57.961     57.961     0.015
57.961     0.001    57.961     57.976     0.016
57.986     0.006    57.992     58.001     0.015
57.987     0.027    58.014     58.016     0.030
57.992     0.024    58.016     58.031     0.039
58.014     0.018    58.031     58.046     0.033
58.054     0.011    58.065     58.069     0.015
58.063     0.006    58.069     58.084     0.021
58.063     0.021    58.084     58.099     0.036
58.165     0.009    58.174     58.180     0.015
58.174     0.013    58.187     58.195     0.021
58.187     0.022    58.209     58.210     0.023
58.209     0.015    58.224     58.225     0.016
58.224     0.013    58.237     58.240     0.017
58.237     0.011    58.247     58.255     0.019
58.242     0.022    58.264     58.270     0.029
58.247     0.023    58.270     58.285     0.038
58.264     0.035    58.299     58.300     0.037
58.293     0.008    58.300     58.315     0.023
58.299     0.017    58.315     58.330     0.032
58.369     0.005    58.375     58.384     0.015
58.375     0.018    58.393     58.399     0.025
58.393     0.018    58.411     58.414     0.022
58.411     0.004    58.414     58.429     0.019
58.451     0.010    58.461     58.466     0.015
58.461     0.005    58.466     58.481     0.020
58.495     0.009    58.504     58.510     0.015
58.497     0.013    58.510     58.525     0.028
58.499     0.039    58.538     58.540     0.042
58.529     0.011    58.540     58.555     0.026
58.532     0.023    58.555     58.570     0.038
58.572     0.008    58.580     58.587     0.015
58.574     0.013    58.587     58.602     0.028
58.580     0.022    58.602     58.617     0.037
58.626     0.005    58.631     58.641     0.015
58.631     0.013    58.644     58.656     0.025
58.644     0.023    58.667     58.671     0.027
58.667     0.010    58.677     58.686     0.019
58.677     0.009    58.686     58.701     0.024
58.709     0.000    58.709     58.724     0.015
58.724     0.000    58.724     58.739     0.015
58.749     0.011    58.760     58.764     0.015
58.752     0.012    58.764     58.779     0.027
58.760     0.033    58.793     58.794     0.034
58.784     0.025    58.808     58.809     0.025
58.791     0.018    58.809     58.824     0.033
58.808     0.024    58.832     58.839     0.031
58.832     0.007    58.839     58.854     0.022
58.893     0.006    58.898     58.908     0.015
58.898     0.010    58.908     58.923     0.024
58.908     0.022    58.930     58.938     0.029
58.930     0.007    58.938     58.953     0.022
58.998     0.000    58.998     59.013     0.015
59.025     0.000    59.025     59.040     0.015
59.041     0.006    59.047     59.056     0.015
59.047     0.014    59.061     59.071     0.024
59.061     0.010    59.071     59.086     0.025
59.117     0.013    59.131     59.132     0.015
59.120     0.024    59.144     59.147     0.027
59.131     0.017    59.147     59.162     0.032
59.144     0.018    59.162     59.177     0.033
59.207     0.008    59.214     59.222     0.015
59.211     0.011    59.222     59.237     0.026
59.214     0.022    59.237     59.252     0.037
59.260     0.000    59.260     59.275     0.015
59.277     0.010    59.288     59.292     0.015
59.288     0.005    59.292     59.307     0.020
59.315     0.012    59.327     59.330     0.015
59.320     0.022    59.341     59.345     0.026
59.327     0.018    59.345     59.360     0.033
59.336     0.035    59.371     59.375     0.039
59.371     0.004    59.375     59.390     0.019
59.509     0.000    59.509     59.524     0.015
59.534     0.000    59.534     59.549     0.015
59.556     0.000    59.556     59.571     0.015
59.600     0.012    59.612     59.615     0.015
59.607     0.008    59.615     59.630     0.023
59.610     0.021    59.630     59.645     0.036
59.652     0.000    59.652     59.667     0.015
59.671     0.014    59.685     59.686     0.015
59.671     0.017    59.689     59.701     0.029
59.685     0.023    59.708     59.716     0.031
59.689     0.038    59.726     59.731     0.042
59.708     0.023    59.731     59.746     0.038
59.725     0.021    59.746     59.761     0.036
59.777     0.000    59.777     59.792     0.015
59.800     0.000    59.800     59.815     0.015
59.852     0.000    59.852     59.867     0.015
59.903     0.000    59.903     59.918     0.015
60.038     0.006    60.044     60.053     0.015
60.044     0.010    60.053     60.068     0.024
60.053     0.022    60.075     60.083     0.030
60.075     0.008    60.083     60.098     0.023
60.108     0.010    60.118     60.123     0.015
60.116     0.006    60.123     60.138     0.021
60.118     0.033    60.151     60.153     0.035
60.151     0.008    60.159     60.168     0.017
60.155     0.013    60.168     60.183     0.028
60.159     0.028    60.187     60.198     0.039
60.187     0.020    60.207     60.213     0.026
60.201     0.025    60.226     60.228     0.027
60.207     0.034    60.242     60.243     0.035
60.226     0.025    60.251     60.258     0.032
60.242     0.016    60.258     60.273     0.031
60.247     0.026    60.273     60.288     0.041
60.297     0.000    60.297     60.312     0.015
60.324     0.000    60.324     60.339     0.015
60.350     0.007    60.358     60.365     0.015
60.358     0.022    60.379     60.380     0.023
60.366     0.023    60.389     60.395     0.030
60.372     0.032    60.404     60.410     0.039
60.389     0.022    60.410     60.425     0.037
60.402     0.034    60.436     60.440     0.038
60.436     0.005    60.440     60.455     0.020
60.464     0.007    60.471     60.479     0.015
60.471     0.008    60.479     60.494     0.023
60.499     0.000    60.499     60.514     0.015
60.545     0.000    60.545     60.560     0.015
60.562     0.008    60.570     60.577     0.015
60.568     0.021    60.590     60.592     0.024
60.570     0.022    60.592     60.607     0.037
60.590     0.017    60.607     60.622     0.032
60.643     0.011    60.655     60.658     0.015
60.655     0.004    60.658     60.673     0.019
60.704     0.000    60.704     60.719     0.015
60.737     0.000    60.737     60.752     0.015
